name,nn,nnr,ir,lr,mvr,spline
beta_14,0.1203557973382974,0.42191856152056884,0.5036309706702813,0.7503719755010172,0.4800835560146627,0.4344342544016868
beta_15,0.12032329123258598,0.41998127026728976,0.4768393179972243,0.7502315999507647,0.46994099901417763,0.458961476734162
beta_16,0.12037261828394123,0.4188203027413878,0.4726737349776991,0.7503031313468126,0.4710644437323032,0.4363990847932895
beta_17,0.12605423384435907,0.41976532577856973,0.488633090742346,0.7503365409896409,0.48384915342087803,0.4388386472046812
beta_18,0.12041004025870983,0.4187951240685207,0.47537780360882165,0.7502881285170789,0.4760746779897085,0.42726465021756677
beta_19,0.12603515686008984,0.4198110225879654,0.4715966331393394,0.7502812639419626,0.4818594735110166,0.4479490751238191
beta_2,0.11991741202826373,0.42759651046087194,0.5485915809414101,0.7502749208440468,0.5196795228228162,0.4678683237389413
beta_20,0.11989374902087768,0.41877105061743036,0.47182687574489574,0.7502229621261668,0.4742115974929584,0.4670515706852862
beta_21,0.1256379222123608,0.5114559578413471,0.5812406730959855,0.8811300639658849,0.698721355431727,0.6714571712657197
beta_22,0.17102460515484935,0.5084014538753638,0.5794514405051538,0.8651433691756273,0.6715866494265643,0.6868660807031164
beta_23,0.34333265639634236,0.5106427681827335,0.5827089333009146,0.8594069529652352,0.6770317596131282,0.6818074368963744
beta_24,0.3397087567607109,0.513031195463911,0.581838795279234,0.9032066508313539,0.6801343067659037,0.6893030872726185
beta_25,0.355851323253806,0.5157206279088241,0.5915453116402313,0.9534883720930233,0.7099627037739792,0.700093530180599
beta_26,0.35455376630834284,0.5136957041731487,0.5824281310267438,0.8795620437956204,0.6866288229026576,0.6563865653951968
beta_27,0.3390111234393591,0.5142379855329962,0.5792467688684554,0.9019480519480519,0.707577676781365,0.6878284363569191
beta_28,0.37771175360989406,0.5134565791225105,0.5869005513632335,0.9646596858638743,0.6764039090007777,0.6864959414477236
beta_29,0.13667009395359914,0.5041838481674332,0.5726222656483666,0.8404850746268657,0.6789797768505339,0.6692855751809196
beta_3,0.1202248048287037,0.4187556733266786,0.4775893919474133,0.7501612713141751,0.4572881787328634,0.44024340440131576
beta_30,0.3536737118242318,0.5149284119943323,0.5792038294751785,0.9829842931937173,0.6773879932683897,0.6932313498199614
beta_31,0.17435249650253146,0.510171257191525,0.5774449311117638,0.8694999999999999,0.686197433000663,0.6705994423760494
beta_32,0.33143059884959025,0.5110124574789763,0.5780018751249999,0.8992290748898678,0.6699061412613361,0.6662605806346472
beta_33,0.3729833322162391,0.5182243802949877,0.5929455712957259,0.9852459016393442,0.6793945480806092,0.700794169347331
beta_34,0.14454902838909675,0.5120516709133534,0.5794505896469688,0.8694196428571428,0.6700033521680633,0.6775174766063884
beta_35,0.3285062871245012,0.5087824735667605,0.5829754330222223,0.8180628272251309,0.6858000388661186,0.6563518469709789
beta_36,0.34565907377389293,0.5093708578570364,0.5662143173896861,0.8672779922779923,0.69753435483174,0.6841296991645416
beta_37,0.3423431959910094,0.5157150051822645,0.5868547464715457,0.9634831460674157,0.6780585868540039,0.689675801108409
beta_38,0.32604714163905424,0.5143025597100367,0.5929021906964417,0.9524456521739131,0.6734409741834073,0.7079853772922582
beta_39,0.344248290020052,0.517394319220954,0.5872949457577279,0.8982919254658385,0.698721355431727,0.7010921232928519
beta_4,0.12403331495681996,0.41885665375994724,0.4739553444767317,0.7502961138024565,0.4804003054749088,0.43254688706447886
beta_40,0.36462629206058317,0.5165111481233056,0.587227113348968,0.9475683890577508,0.6850423122221212,0.6817903107479439
beta_41,0.3129311353851797,0.5123945680412572,0.576933038838013,0.8720518867924528,0.7241293706469817,0.6777498485183646
beta_42,0.14423409535036136,0.5145435786616961,0.5872003715122145,0.9786269430051814,0.6686866944027295,0.6910498597426656
beta_43,0.36727601761656614,0.5099638473190229,0.577990690586112,0.8967842323651453,0.6826853444956711,0.6606060070839017
beta_44,0.28878888142255654,0.501966313946224,0.5680987928975058,0.8634840871021776,0.679610997630236,0.6584409264915645
beta_45,0.33456790677522474,0.5127731315649531,0.5806146815222372,0.8816747572815534,0.6736782641203443,0.6841935112299602
beta_46,0.36363913758451494,0.5072996769681675,0.5762491281049926,0.8862862010221465,0.6860354028993829,0.6730834942426904
beta_47,0.32302936963468354,0.5119526080984531,0.5760181699357689,0.895124716553288,0.6690440616198083,0.6840908960907364
beta_48,0.14194847046326411,0.510428371280591,0.5771333265690444,0.8762575452716298,0.682922378475211,0.6873425354744458
beta_49,0.14270231230290062,0.5129943913609467,0.5845005417182048,0.9203488372093023,0.6704992197696169,0.6846164585449422
beta_5,0.1198800767766357,0.41722345637511304,0.47292489885304956,0.7502201547817618,0.4652990248212703,0.4560016689017211
beta_50,0.1409671649866307,0.5082232563990641,0.564993145148404,0.9290780141843972,0.6876973510573485,0.6685643710360506
beta_51,0.348706417028285,0.516410855692144,0.5503932905773241,0.9437134502923976,0.674245355168553,0.6872860648622617
beta_52,0.3453770601465592,0.509887663104139,0.5769390769834526,0.835,0.6678176565540062,0.6759159235360022
beta_53,0.3371730423528676,0.5140189506892479,0.5889653177675074,0.8970959595959596,0.689662256606604,0.6770697494592987
beta_54,0.3559723810469497,0.5076912084609075,0.5810585091312125,0.8777589134125636,0.6673570370940949,0.6818677842483545
beta_55,0.3633203251052657,0.5110466933602615,0.5849941180534002,0.812111801242236,0.6706586380578938,0.6852666844824723
beta_56,0.32779448447141674,0.5130048633101865,0.584427883696554,0.9003496503496503,0.6767705473784325,0.6858919455574195
beta_57,0.3807338311132865,0.5166494778544971,0.5897404088819209,0.9619565217391304,0.6691773804461696,0.698289933234461
beta_58,0.3001186749733211,0.5114530506826631,0.5762556560009136,0.9209070796460177,0.675542633022535,0.6830783526669747
beta_59,0.31445562519388803,0.5128877274085668,0.5813317824853392,0.9706235011990407,0.6770180705804105,0.6735680624601982
beta_6,0.11975728006951,0.4176049388425841,0.46114357992633553,0.7503850612785691,0.4623052425336233,0.4265230735369406
beta_60,0.34227168664711105,0.514238916829366,0.5865859652207936,0.9248704663212435,0.6764744284992594,0.6845475195540722
beta_61,0.3595339012520713,0.5139268257645802,0.5798975130915449,0.9147135416666666,0.6683157103790272,0.6785182360506621
beta_62,0.3583126695657546,0.5121385212557825,0.5706629151097402,0.8617381489841986,0.678609644707485,0.687359165912318
beta_63,0.31505204049729163,0.5089161537063736,0.5774212036771791,0.8489776951672863,0.6780190634396166,0.6671318640320834
beta_64,0.3434113636029438,0.5134988859570648,0.582487748302297,0.9273399014778325,0.6697161584730933,0.6803467975635324
beta_65,0.17589446467755687,0.5161925438509634,0.5750184711732498,0.9294871794871795,0.6897281618162134,0.6980796332034012
beta_66,0.22784363212727407,0.511321979750633,0.5811090252072264,0.8782188841201717,0.6773383222051454,0.6822547877852501
beta_67,0.30909829073037554,0.5077235403655659,0.5694667097007544,0.8453654188948306,0.6691914134842647,0.6778261488432531
beta_68,0.3155913459591063,0.510171380484352,0.5803509004028523,0.9284922394678492,0.6695642314228254,0.6934968586898504
beta_69,0.13884006917080907,0.5071556983049988,0.5801521351299189,0.8568447412353923,0.6903435407115935,0.6825990026414099
beta_7,0.11973360040179935,0.41640839318322365,0.4655291192302203,0.7503946777829943,0.47859787464432624,0.45289358395194657
beta_70,0.3191516334266771,0.5085179741433721,0.5730402334963998,0.8858998144712431,0.7113168138237991,0.682422685113182
beta_71,0.3317992538207999,0.5085740860654331,0.5803085280243593,0.8398230088495575,0.7102658357744206,0.6903802696244072
beta_72,0.30502282511422385,0.5033625282560097,0.5657998701132945,0.9008379888268156,0.6578830930336121,0.6620652985273108
beta_73,0.36229641837907883,0.5188089321938625,0.5988695168397954,0.9217252396166135,0.6800923225756696,0.7067628577206363
beta_74,0.2890634025300718,0.5109956679537576,0.5792696505522048,0.8667400881057269,0.6641019276630225,0.6871144974828594
beta_75,0.3484834937828528,0.512599401479952,0.5815346353993132,0.9226327944572749,0.6771352786641909,0.6885224429032106
beta_76,0.35869886986184263,0.5159631948441368,0.586755062285179,0.8796296296296297,0.6886513408215136,0.6929898417440181
beta_77,0.36966202600526094,0.5150575975931351,0.586264577986447,0.9541666666666666,0.6780323102130623,0.6902417917161725
beta_78,0.35674773606032095,0.5170657649945627,0.5853892886418919,0.964622641509434,0.6674512642996363,0.6938686742895077
beta_79,0.3335366208510065,0.5143443320207104,0.578539113085567,0.8879533678756477,0.6768892835511124,0.6939718404045714
beta_8,0.12087264902314938,0.4196592274125126,0.47671220169092987,0.7502382917202424,0.4749570691333752,0.4577839430959014
beta_80,0.3433567904266368,0.5168178225923022,0.5975384424772108,0.9166666666666666,0.6821477976531322,0.7103437779172688
beta_81,0.3518732487666808,0.5127561127023146,0.5787915392701527,0.8689095127610209,0.6859402929876677,0.6870651733812845
beta_82,0.3399163777439322,0.5079832494859773,0.5734500592206925,0.8020282186948854,0.6969852219012281,0.6522429493547535
beta_83,0.33901900092149156,0.5153617031773012,0.5677782422098185,0.9424715909090909,0.6885114758166253,0.6844159776371102
beta_84,0.33468482220375784,0.5142538808237926,0.5812891905321358,0.9360313315926894,0.6686402745619715,0.6887339862265227
beta_85,0.31839989349626263,0.5052363985049544,0.5737153180065473,0.90625,0.6790608096863003,0.6558341821539126
beta_86,0.3540054525756361,0.5132700035467737,0.58388849464071,0.9284855769230769,0.686378253238213,0.6958713054004456
beta_87,0.3506590476391732,0.514262088005837,0.584675935189938,0.9132390745501285,0.6705573901535578,0.6944124812517329
beta_88,0.32163201761775195,0.5158355571356386,0.5905027039676392,0.940308988764045,0.670505580793608,0.6872275309615998
beta_89,0.3682301666102987,0.5112465164572695,0.5806154906093672,0.8683368869936035,0.6719830900232161,0.6749207391680843
beta_9,0.12048591600686041,0.41703812285388414,0.4742863385795864,0.7503269415811213,0.4886146723499974,0.430882709106242
beta_90,0.28249403183563027,0.5160635722170983,0.5721282498851139,0.9007246376811594,0.6864746861559421,0.6880642157277651
beta_91,0.3224805361443134,0.5070183444536485,0.568912097554684,0.8371598639455782,0.6706770615947508,0.6754264743348825
beta_92,0.33289322478786565,0.5095643378107311,0.547589817191071,0.9486027944111777,0.6722743484204035,0.6519159867947013
beta_93,0.2955120186346357,0.5108528609551221,0.576094690558308,0.8843683083511777,0.6865693647907212,0.6807346151925264
