name,training_time,size,execution_time,10-off_precision,15-off_precision,20-off_precision
lr_beta_119,0.004490685999996913,96,3.0593000005296744e-05,0.6290672451193059,0.8872017353579176,0.9436008676789588
spline_beta_119,0.0012748179999988454,33264,3.843199999664648e-05,1.0,1.0,1.0
nnr_beta_119,0.0003956940000051645,9184,0.0006750820000007707,1.0,1.0,1.0
ir_beta_119,0.004096762000003196,25792,7.33230000093954e-05,1.0,1.0,1.0
mvr_beta_119,0.01776249499999949,376,0.00017445899999302128,1.0,1.0,1.0
lr_beta_12,0.10339399400000104,96,3.5397000004877555e-05,0.0017614271106093473,0.0028608413474326315,0.003635159976593116
spline_beta_12,0.4324110160000032,11506224,0.00016561000001047432,1.0,1.0,1.0
nnr_beta_12,22.975388835999993,2033824,0.000815660000000662,1.0,1.0,1.0
ir_beta_12,0.5727471659999992,8124352,0.0001120080000021062,1.0,1.0,1.0
mvr_beta_12,1.268127659000001,256,0.00014361300000587107,0.1642442118204763,0.25507592460146233,0.33963033673994125
lr_beta_120,0.004630000999995332,96,3.3122000004937036e-05,0.7185501066098081,0.906183368869936,0.9680170575692963
spline_beta_120,0.0013102159999931473,33808,3.792599999030699e-05,1.0,1.0,1.0
nnr_beta_120,0.00042097899999760097,9280,0.0007049179999967237,1.0,1.0,1.0
ir_beta_120,0.004245178000005012,26176,8.47019999952181e-05,1.0,1.0,1.0
mvr_beta_120,0.020786964000009792,400,0.00021365000000628243,0.9957356076759062,1.0,1.0
lr_beta_13,0.08784536299999958,96,3.666199999941e-05,0.0013261823500731352,0.0019047619047619048,0.002327320006500894
spline_beta_13,0.3924191070000092,10462016,0.00015574900000103753,1.0,1.0,1.0
nnr_beta_13,18.950915975,1849552,0.0007749540000077104,1.0,1.0,1.0
ir_beta_13,0.5244181209999965,7387264,0.00010846799999342238,1.0,1.0,1.0
mvr_beta_13,1.3366952579999918,288,0.00014260199999682754,0.19183487729562815,0.27689257272875023,0.3675475377864456
lr_beta_14,0.11696895699998322,96,4.9050999990640776e-05,0.0014879020040687357,0.002099294463922434,0.0027864346621650866
spline_beta_14,0.4923494489999882,12569944,0.0002735719999975572,1.0,1.0,1.0
nnr_beta_14,27.44421534400001,2221536,0.0007784930000127588,1.0,1.0,1.0
ir_beta_14,0.6334340059999874,8875216,0.00011049100001514489,1.0,1.0,1.0
mvr_beta_14,2.8963589819999815,392,0.00019671000001153516,0.14220555771977667,0.22194628403237673,0.30243907717612434
lr_beta_15,0.08765522699999906,96,3.6409000017556536e-05,0.0009263998030590629,0.001425230466244712,0.001859277926419238
spline_beta_15,0.3983216510000034,10498464,0.00013425800000277377,1.0,1.0,1.0
nnr_beta_15,19.089222580999998,1855984,0.0007668629999955101,1.0,1.0,1.0
ir_beta_15,0.5282969350000144,7412992,0.00011023799999065886,1.0,1.0,1.0
mvr_beta_15,2.1031353380000155,384,0.0001853309999830799,0.1492410647767247,0.2304856796729744,0.3126113461301754
lr_beta_16,0.1069453800000133,96,3.5397000004877555e-05,0.0012125253872502955,0.002018854769771742,0.002800933644548183
spline_beta_16,0.4237611170000264,11218176,0.00019316899999921588,1.0,1.0,1.0
nnr_beta_16,21.786512266000013,1982992,0.0007741949999910958,1.0,1.0,1.0
ir_beta_16,0.5710169839999821,7921024,0.0001120080000021062,1.0,1.0,1.0
mvr_beta_16,1.9534678860000267,352,0.00016636899999866728,0.1146624632453242,0.18010245839522265,0.2541998848100882
lr_beta_17,0.1243617380000046,96,4.27290000004632e-05,0.0013461639585633906,0.0017142556659830678,0.0023978545511910395
spline_beta_17,0.4867740819999824,12933472,0.0002159250000204338,1.0,1.0,1.0
nnr_beta_17,29.036178832999983,2285688,0.0007683800000108931,1.0,1.0,1.0
ir_beta_17,0.6509044710000182,9131824,0.00011099600001784893,1.0,1.0,1.0
mvr_beta_17,2.7027014650000183,376,0.00018710199998395183,0.1675080191407688,0.24947678393016776,0.3354051638008098
lr_beta_18,0.09715997800000764,96,3.590299999700619e-05,0.0011525140683158594,0.0016582090166585325,0.0023638298748110994
spline_beta_18,0.4332737050000048,11566200,0.00024297800001704672,1.0,1.0,1.0
nnr_beta_18,23.197318888000012,2044408,0.0007648399999879985,1.0,1.0,1.0
ir_beta_18,0.5680597709999802,8166688,0.00010947999999189051,1.0,1.0,1.0
mvr_beta_18,2.6820985690000043,400,0.0002002489999881618,0.20139007309056056,0.2956433792182897,0.3840988339615319
lr_beta_19,0.09574382300002073,96,3.590399998643079e-05,0.0011250557678505616,0.001739310353745983,0.0022695090489399257
spline_beta_19,0.3950172880000196,10518728,0.00015802500001882436,1.0,1.0,1.0
nnr_beta_19,19.227299861999995,1859560,0.0007658509999828311,1.0,1.0,1.0
ir_beta_19,0.5160857879999979,7427296,0.0001160529999992832,1.0,1.0,1.0
mvr_beta_19,2.168678975999967,384,0.0001891240000304606,0.2035251747392651,0.2931998784422504,0.3733374714694909
lr_beta_2,0.10913952299995344,96,6.852000001345004e-05,0.0010996833761873393,0.001413119700801122,0.0018699929875262969
spline_beta_2,0.484371345999989,12801960,0.00021845399999165238,1.0,1.0,1.0
nnr_beta_2,28.45463689099995,2262480,0.0007921469999701003,1.0,1.0,1.0
ir_beta_2,0.6459260569999971,9038992,0.00010973199999853023,1.0,1.0,1.0
