name,nn,nnr,ir,lr,mvr,spline
beta_3,0.07965637728840555,0.4487164243270513,0.5354604545760014,0.6602128781347112,0.3496002831066651,0.488202343373339
beta_30,0.3752129888560146,0.5126390726911856,0.6139074534362339,0.9675392670157068,0.641030762982941,0.7679139553626491
beta_31,0.13860760150172052,0.5092499265775284,0.6149598556273324,0.81774,0.6489031139698457,0.7415875097023894
beta_32,0.3460491079360307,0.5092992077383323,0.6144875177101055,0.8569823788546256,0.6328793250367184,0.7346015928939078
beta_33,0.400993592331237,0.5147644165997528,0.6292236505457105,0.9705245901639346,0.6427806906456894,0.7748480774046151
beta_34,0.09955498623328858,0.5105267883138354,0.6162331069858458,0.8176339285714286,0.6338358077160445,0.7492860101667278
beta_35,0.3424699023099146,0.5089640094539496,0.6239575054510469,0.7498429319371729,0.6483785537122471,0.7245329878123064
beta_36,0.3652027218150927,0.5085886570327253,0.6005769350427479,0.8148069498069499,0.6596234544536987,0.7599048496625211
beta_37,0.3609155446443039,0.5129583189092846,0.6231216446433891,0.9417977528089888,0.6419159465159517,0.7622730128593151
beta_38,0.33949120045430925,0.5114299874156701,0.6315204637989213,0.9272282608695652,0.6383734687762985,0.7868882548259709
beta_39,0.3636016085618368,0.5141806354781856,0.6224437725317282,0.8557453416149069,0.6611902952456816,0.7759805745350998
beta_4,0.08468910489490244,0.4491805609450784,0.530939574413669,0.6603908702192427,0.38100701509554635,0.47830736839486937
beta_40,0.39069330907023847,0.513234826894202,0.6226237396065135,0.920790273556231,0.6473783545421703,0.7507976296495229
beta_41,0.322584856749955,0.5103883305273221,0.6122194788340525,0.8211084905660377,0.6842210660992682,0.7488667795711175
beta_42,0.09998290642986371,0.5122387586698568,0.6245936896597968,0.9617875647668395,0.6329046204694799,0.7651737897588868
beta_43,0.3944751459404563,0.5085699600409971,0.6152219675910864,0.8537551867219917,0.6442671571432563,0.7279198238379543
beta_44,0.29266857646503863,0.5035304189973302,0.6075945072372171,0.8097989949748744,0.6451059429697512,0.7305058163458855
beta_45,0.3514522208568719,0.5105835046263443,0.6167189647897198,0.8338106796116505,0.6361339205075212,0.7569919691714687
beta_46,0.3899008714092346,0.507284230026754,0.6153782693454897,0.8398977853492334,0.6486892342361559,0.746925630437761
beta_47,0.3363695670744018,0.5102341694538151,0.6115049022791299,0.8515646258503402,0.6317413799099016,0.7577575317655556
beta_48,0.09741516329554377,0.5095298443546155,0.6144733540850436,0.8266599597585513,0.6435689390629045,0.7636118906028302
beta_49,0.09848156933524582,0.5113300738239055,0.6223848620346528,0.8848604651162791,0.6344903529500954,0.7581164348447829
beta_5,0.07921222368262776,0.4479705457347435,0.530369294276289,0.6602906043119257,0.36107332463274355,0.5100244651938035
beta_50,0.09632840223221442,0.508037825914872,0.6000242599985899,0.8963829787234043,0.6508830058046706,0.7404503966583829
beta_51,0.37061254635795593,0.513475156179023,0.5744890644724563,0.9157017543859649,0.6368824806911567,0.7585759342700324
beta_52,0.3662853372969371,0.5088755823821789,0.6142921281779616,0.7722,0.630950689505489,0.7486052648335269
beta_53,0.35552250517710304,0.511812111775608,0.6272445663947304,0.8541666666666667,0.6524655781963433,0.7470616202502391
beta_54,0.3804019914426687,0.5078402634372383,0.6217688200891757,0.8286417657045841,0.62951450753596,0.7585640537596601
beta_55,0.3901659570570605,0.5100297916469612,0.6244924134156835,0.7419875776397515,0.6347007850906208,0.7605004894423282
beta_56,0.34333454103843797,0.5113273067444238,0.6222597478806418,0.8584615384615385,0.6393170097188163,0.7597711361752362
beta_57,0.4132763095874578,0.5131974448744624,0.6256717838556631,0.9397826086956522,0.6335523260468205,0.772281683658024
beta_58,0.30692428883949174,0.5098328854855889,0.6121271891553943,0.8855973451327435,0.638594887458413,0.7567431129110853
beta_59,0.32591040567302626,0.5108708809341549,0.6178169315302406,0.9512230215827339,0.6396437403454274,0.7431282524205456
beta_6,0.07905561036249774,0.44802656507304706,0.5144440457060167,0.6605082808877112,0.3588461387161376,0.47075446091957585
