name,nn,nnr,ir,lr,mvr,spline
beta_1,0.024490005216372505,0.1662432265274069,0.3661900360263445,0.9001356238698011,0.25311991996722105,0.35900457265571095
beta_10,0.024469491914481327,0.16919464321855232,0.38198938803460303,0.9002121471558432,0.23883204479880005,0.28281466801653815
beta_100,0.1168490097923362,0.18483972754662822,0.48812282067959,0.9530214424951268,0.3177697593918605,0.8666731172174854
beta_101,0.10400800958370227,0.18676206896253317,0.48281811639017613,0.9440217391304349,0.3663295076519133,0.8133847928604012
beta_102,0.11365692454369022,0.1880127885208011,0.4419052647750594,0.9912790697674418,0.3063892566688396,0.8749476817666311
beta_103,0.11650347026887828,0.18734284735442253,0.5112272183863492,0.9824712643678162,0.3262963310639605,0.8401436760018165
beta_104,0.11460019575181077,0.18621846523992786,0.4875493762082611,0.9645598194130925,0.30562624022076423,0.8564172323414322
beta_105,0.10774080495394199,0.18791600978318257,0.4705954327861306,0.950326797385621,0.32020828306559557,0.9077874078339799
beta_106,0.12088623154076877,0.18372875752754364,0.49741118112906724,0.932172131147541,0.31413695754874715,0.8175926231380183
beta_107,0.11059749841367353,0.18817076806569116,0.50020255163581,0.9619631901840491,0.3333520532686193,0.8285657758351519
beta_108,0.11098313886207092,0.1866852640161363,0.48144783462749985,0.9269372693726937,0.32804460440064287,0.8736378819388654
beta_109,0.11734687836284499,0.1844840977894971,0.4780413601508222,0.9691001697792869,0.2970578580194591,0.822891648993423
beta_11,0.02446511316274453,0.1682643225993287,0.3837775961497133,0.900210937363806,0.2390781699652837,0.2593437751296993
beta_110,0.10378084398607229,0.18536943959235366,0.49877033339602006,0.9682080924855492,0.31991451102445406,0.862204962576124
beta_111,0.11485659289720862,0.18729810045893888,0.47847940814553125,0.9729651162790698,0.3178267702222436,0.8529205392624255
beta_112,0.11612587602711329,0.1887150433967258,0.5093776409025329,0.9672413793103448,0.3017826390318067,0.8874254668999678
beta_113,0.10402162277084098,0.18404730471437555,0.46500483912247226,0.9329501915708812,0.3264008443792924,0.8332020271034004
beta_114,0.10786336912259481,0.18546037054836226,0.4877271190742213,0.9814726840855107,0.3335601640793171,0.8315171365262455
beta_115,0.10209547289723676,0.18586573750008537,0.46850665821028725,0.9715639810426541,0.32184031762527493,0.6171038836295498
beta_116,0.11102740748126054,0.1872198418641561,0.4966524954649705,0.984319526627219,0.41343520419224966,0.8639494742894811
beta_117,0.0328272973766121,0.18725502391120522,0.4882437511191908,0.9603260869565218,0.33991599317608934,0.8369201023568925
beta_118,0.11292038239906052,0.18453577728152434,0.49924340448525595,0.9629156010230179,0.31689883907905214,0.8749331431680083
beta_119,0.10034255987674202,0.18627302471840446,0.47872318199430963,0.9629067245119306,0.3172631945646051,0.7806598897895018
beta_12,0.024464478280140468,0.166140564074834,0.3815055262654984,0.900176142711061,0.29591637349796074,0.29906346143143714
beta_120,0.0907348267028901,0.18755174419247428,0.45770227715387457,0.9718550106609808,0.299777806401,0.8424340437158759
beta_13,0.024005401983200243,0.16947686099266468,0.3992590339968334,0.9001326182350073,0.3054580585524772,0.3165522767385125
beta_14,0.024210755291776038,0.18163943585253062,0.4836786516911248,0.900148790200407,0.2901446800595039,0.2713605908585116
beta_15,0.02419036943865779,0.1696046352288795,0.39307509718025424,0.900092639980306,0.24879068726832798,0.34518240999626304
beta_16,0.02421099151613097,0.1680548400081856,0.3815512994128579,0.9001212525387251,0.25951750662150885,0.2747125831052235
beta_17,0.026490384480537903,0.1756599679901098,0.4364464818840458,0.9001346163958563,0.27642480109047773,0.28618384613569
beta_18,0.024229271380706522,0.168965407845681,0.3910314430724149,0.9001152514068316,0.23975327554801434,0.24627469166746901
beta_19,0.02648116409212682,0.1691230908916094,0.37635124299357503,0.9001125055767851,0.2489309286844344,0.30999323212089014
beta_2,0.02405894149271032,0.20039362467627464,0.6280411391640397,0.9001099683376188,0.3845074046884372,0.37881769787170105
beta_20,0.024027567560976272,0.1685295666639548,0.37936906676128035,0.9000891848504667,0.2586333335073798,0.3733060204218639
beta_21,0.026324043466137387,0.18722720758694603,0.48693440374034946,0.952452025586354,0.34899063772608063,0.7921396403274357
beta_22,0.04091291551638403,0.1862526355544478,0.4910645329262048,0.946057347670251,0.3063646353093457,0.851648033663662
beta_23,0.10985602803056924,0.1867137635184435,0.4940074581602826,0.9437627811860941,0.3147277399892881,0.8277340256215795
beta_24,0.1084355198949945,0.18697418684132097,0.4826967599546922,0.9612826603325416,0.3217929051930978,0.8427919597857454
beta_25,0.11491272697066354,0.18608264062678737,0.5022316942436408,0.9813953488372094,0.3628801105371259,0.8650144680716412
beta_26,0.11441354362407273,0.1879438453471,0.4832113078325463,0.9518248175182482,0.3295872442383698,0.7360105221639842
beta_27,0.10821900975751453,0.1865767516137018,0.46930160007624644,0.9607792207792208,0.36070256961530583,0.8326660864176458
beta_28,0.12371430353221392,0.18366818436779275,0.4933472122214305,0.9858638743455498,0.31394074456915544,0.8279168926340791
beta_29,0.027839999829002274,0.18483760535975405,0.4796216813003743,0.9361940298507463,0.32736904091188823,0.8054133920503587
beta_3,0.02416412230053319,0.1671042252628055,0.3966608597108857,0.9000645085256701,0.24498498721104928,0.2864200284642203
beta_30,0.11418007218245993,0.18837804955762244,0.46871770217965425,0.993193717277487,0.31708981422551363,0.8494701994252399
beta_31,0.04244756207345977,0.18629287339795006,0.4784262639203902,0.9478,0.3296067965519874,0.793173878176104
beta_32,0.10529723674695751,0.184161517869467,0.47471983015047914,0.9596916299559471,0.30098700918061505,0.7735685237407502
beta_33,0.12195137413174781,0.18880999244563795,0.4998599028524694,0.9940983606557378,0.3194256774001554,0.8598130413029961
beta_34,0.03059788520729531,0.18683163196004424,0.47859792619687724,0.9477678571428572,0.3050624671841704,0.8087965662599658
beta_35,0.10422851713327065,0.18888184425829604,0.5038392668607182,0.9272251308900524,0.3269351353214451,0.7555465912644693
beta_36,0.11108588423880347,0.18552822087632206,0.44449507059409665,0.946911196911197,0.34519223580612224,0.8385497953507431
beta_37,0.10977324291787278,0.18762670780458884,0.48917782189507775,0.9853932584269663,0.31923571369947895,0.8337850880751602
beta_38,0.10330764974446481,0.18463459379221608,0.5104214287723333,0.9809782608695652,0.31606285763327124,0.8944057382451813
beta_39,0.11057850275062264,0.18848061290035373,0.48486402702258147,0.9593167701863354,0.34899063772608063,0.8641264844850142
beta_4,0.025688867248225986,0.16893119194977677,0.3862867373454648,0.9001184455209826,0.24763626908605998,0.2629931180143199
beta_40,0.11875484705640252,0.1866543620465712,0.48587198992522307,0.9790273556231003,0.32451041006065323,0.8037036283126789
beta_41,0.0981064922549115,0.18524216642685332,0.4674033041356208,0.9488207547169811,0.3841844605813511,0.806240331290022
