name,nn,nnr,ir,lr,mvr,spline
beta_1,0.0278432952243474,0.8358902767827885,0.858471262413191,0.2010849909584087,0.25811168753610947,0.857031726645653
beta_10,0.027695423001383786,0.8362641393824746,0.8604502979592981,0.2016971772467454,0.2632792201973312,0.8475119313090582
beta_100,0.7024083901186783,0.8532302457387869,0.8867358009792221,0.6241715399610137,0.8930572986003059,0.9330982449334191
beta_101,0.5973625566755429,0.8540814622388391,0.886573414586417,0.5521739130434783,0.895256437437604,0.9269119567696276
beta_102,0.6770447311956991,0.8555812950715181,0.8830297674388465,0.930232558139535,0.8924568945835185,0.9362600752170284
beta_103,0.7016537307464542,0.8554669513155565,0.8916565493171915,0.8597701149425288,0.8963984990775863,0.9318680772827254
beta_104,0.6893737500382592,0.8546584339641955,0.887893538639489,0.7164785553047406,0.892361517527509,0.9330476200793929
beta_105,0.636626484537874,0.8547687311505331,0.8856564069018487,0.6026143790849674,0.8946415549634773,0.9393453821769956
beta_106,0.7430911978777984,0.8540691145322094,0.8888050827089262,0.4573770491803279,0.8938826392738712,0.9278594523613362
beta_107,0.6629823090504547,0.8557416652525559,0.8904956232065986,0.6957055214723926,0.897548559827919,0.9306559184867669
beta_108,0.6673876620793968,0.8541269343448925,0.8864624512197027,0.41549815498154985,0.8893522730970702,0.9345057025558385
beta_109,0.7209692575398124,0.8535978198796764,0.8857627034941624,0.7528013582342954,0.8917477518327102,0.9278807724172526
beta_11,0.027677411593903845,0.8359961379772125,0.8605472385868695,0.20168749891044752,0.21824002724139768,0.8444568171615531
beta_110,0.6136588437162629,0.8540902753525738,0.888771039643081,0.7456647398843932,0.8948431316714281,0.9332241072504539
beta_111,0.703774152595129,0.8554919590637853,0.8876015353601556,0.7837209302325581,0.8948273408980582,0.9335066824040026
beta_112,0.7143420486308734,0.8556384758208444,0.8914253521317146,0.7379310344827588,0.8916614783646044,0.9377783011449943
beta_113,0.6192327968879163,0.853909749961151,0.8845312929338716,0.4636015325670499,0.8949029425523476,0.9295794201876916
beta_114,0.6505044874585482,0.8547082085727317,0.888085154005711,0.8517814726840855,0.8975745736792563,0.9301133540358344
beta_115,0.6053565037123394,0.8547544213130948,0.8856747031518465,0.7725118483412323,0.8942434791284252,0.9033038603065376
beta_116,0.677507271096076,0.8555285143086327,0.889931697221659,0.8745562130177515,0.9125041157620002,0.9349485570144866
beta_117,0.05283147048867291,0.8553063378302282,0.888597627808182,0.682608695652174,0.8992263649602455,0.9312652818248642
beta_118,0.6938254036974176,0.854798590930582,0.8897707427890813,0.7033248081841432,0.8942278744651594,0.9358009639151348
beta_119,0.5945196624412284,0.8545508043012059,0.8866579364238387,0.7032537960954448,0.894511717113947,0.9234393442655537
beta_12,0.027682626610774565,0.8357628331533788,0.8602900773426682,0.2014091416884875,0.23835489084750783,0.849447496200792
beta_120,0.5578753181486752,0.8546608263785389,0.8839732034039646,0.7748400852878465,0.8882722543448147,0.9311014484149851
beta_13,0.024029272989893297,0.8363608308807721,0.8626602214332824,0.20106094588005852,0.25977725477917724,0.8517781850948034
beta_14,0.025603500382474484,0.8375340938740082,0.8729230246378609,0.201190321603255,0.21513872555747054,0.8458517668788823
beta_15,0.025533857031758724,0.8363701461318195,0.8618816791714988,0.20074111984244727,0.21574169400048948,0.8553516363234611
beta_16,0.025717782395987893,0.8360501125122715,0.8603358504900277,0.20097002030980024,0.1908478358279726,0.846442001368429
beta_17,0.043918644944759194,0.8367335253446737,0.8669746090641743,0.20107693116685071,0.23381948300303645,0.8476621372205866
beta_18,0.02588755228868698,0.8361061170158359,0.8614726195451411,0.2009220112546527,0.25522207950223175,0.8428410474851105
beta_19,0.043912896573249635,0.8363062636091942,0.8597881210522484,0.20090004461428046,0.2585079607730033,0.8509500428311723
beta_2,0.02433757836912816,0.8398442569311144,0.8909398377199993,0.20087974670094988,0.2547262092520539,0.8592566002893824
